종류,종목명,종목코드,업종,주요제품,날짜,현재가,시가,종가,등락률,거래량,240일 평균,평균값 근처 도달
KOSPI,LX홀딩스,383800,기타 금융업,지주회사,2022-10-10,"8,370","8,330","8,380",-0.12%,"66,946",9338,-
KOSPI,MH에탄올,023150,알코올음료 제조업,"주정,탄산가스 제조",2022-10-10,"7,800","7,710","7,750",+0.65%,"10,956",10077,-
KOSPI,OCI,010060,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",2022-10-10,"95,700","95,800","96,800",-1.14%,"242,282",114882,-
KOSPI,PI첨단소재,178920,플라스틱제품 제조업,PI(Polyimide)제품,2022-10-10,"33,250","32,800","33,300",-0.15%,"50,920",44694,-
KOSPI,SK스퀘어,402340,기타 금융업,지주회사,2022-10-10,"38,900","38,100","38,950",-0.13%,"235,953",51077,-
KOSPI,SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2022-10-10,"158,500","152,000","153,000",+3.59%,"440,640",212830,-
KOSPI,STX,011810,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매",2022-10-10,"4,235","4,365","4,335",-2.31%,"7,417,045",3965,O
KOSPI,WISCOM,024070,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공",2022-10-10,"2,840","2,840","2,840",0.00%,"14,366",3390,-
KOSPI,갤럭시아에스엠,011420,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",2022-10-10,"1,925","1,940","1,935",-0.52%,"75,574",2344,-
KOSPI,경농,002100,"비료, 농약 및 살균, 살충제 제조업","완제농약(잡초약,살충제,살균제) 제조",2022-10-10,"9,190","9,240","9,210",-0.22%,"9,875",12295,-
KOSPI,경동인베스트,012320,기타 금융업,지주회사,2022-10-10,"30,700","30,850","30,900",-0.65%,"3,720",35496,-
KOSPI,국도화학,007690,기초 화학물질 제조업,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",2022-10-10,"44,400","44,100","44,450",-0.11%,"11,916",57272,-
KOSPI,국보,001140,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",2022-10-10,871,872,872,-0.11%,"942,020",1420,-
KOSPI,극동유화,014530,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",2022-10-10,"3,655","3,640","3,590",+1.81%,"118,768",4017,O
KOSPI,노루페인트,090350,기타 화학제품 제조업,페인트 제조,2022-10-10,"8,110","8,000","8,100",+0.12%,"42,427",10549,-
KOSPI,녹십자홀딩스,005250,회사 본부 및 경영 컨설팅 서비스업,"알부민,유로키나제,간염백신,유행성출혈열백신 제조",2022-10-10,"16,000","16,050","16,450",-2.74%,"46,923",23453,-
KOSPI,대덕전자,353200,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",2022-10-10,"24,250","23,200","23,550",+2.97%,"739,321",24742,O
KOSPI,대성산업,128820,연료 소매업,"주요소운영,기계판매 등",2022-10-10,"4,230","4,220","4,240",-0.24%,"154,701",4910,-
KOSPI,대우건설,047040,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",2022-10-10,"4,235","4,195","4,235",0.00%,"566,954",5983,-
KOSPI,대원강업,000430,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",2022-10-10,"2,740","2,735","2,765",-0.90%,"39,729",3444,-
KOSPI,동화약품,000020,의약품 제조업,"의약품 제조,판매,수출입",2022-10-10,"8,760","8,770","8,780",-0.23%,"25,603",12739,-
KOSPI,두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지,2022-10-10,"30,400","29,600","29,700",+2.36%,"740,840",40285,-
KOSPI,롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2022-10-10,"24,250","23,550","23,650",+2.54%,"9,265",33151,-
